DATE,NAV
2024-06-18,12.90220
2024-06-17,12.90170
2024-06-14,12.89970
2024-06-13,12.89830
2024-06-12,12.89600
2024-06-11,12.89580
2024-06-10,12.89330
2024-06-07,12.89270
2024-06-06,12.89150
2024-06-05,12.88990
2024-06-04,12.88940
2024-05-31,12.88420
2024-05-30,12.88320
2024-05-29,12.88230
2024-05-28,12.88390
2024-05-27,12.88190
2024-05-24,12.87600
2024-05-23,12.87420
2024-05-21,12.87210
2024-05-20,12.87910
2024-05-17,12.87850
2024-05-16,12.87760
2024-05-15,12.87260
2024-05-14,12.87040
2024-05-13,12.86900
2024-05-10,12.86640
2024-05-09,12.86330
2024-05-08,12.86240
2024-05-07,12.86410
2024-05-03,12.85990
2024-05-02,12.85780
2024-04-30,12.85360
2024-04-29,12.85200
2024-04-26,12.84780
2024-04-25,12.84740
2024-04-24,12.84860
2024-04-23,12.84850
2024-04-22,12.84610
2024-04-19,12.84500
2024-04-18,12.84370
2024-04-17,12.83750
2024-04-11,12.83900
2024-04-10,12.84880
2024-04-09,12.85470
2024-04-05,12.85620
2024-04-04,12.85540
2024-04-03,12.85520
2024-04-02,12.85430
2024-04-01,12.85320
2024-03-29,12.85340
2024-03-28,12.85200
2024-03-27,12.85020
2024-03-26,12.84810
2024-03-25,12.84800
2024-03-22,12.84660
2024-03-21,12.84720
2024-03-20,12.84660
2024-03-19,12.84610
2024-03-18,12.84600
2024-03-15,12.84410
2024-03-14,12.84360
2024-03-13,12.84430
2024-03-12,12.84390
2024-03-11,12.84170
2024-03-08,12.83760
2024-03-07,12.83540
2024-03-06,12.83440
2024-03-05,12.83380
2024-03-04,12.83230
2024-03-01,12.82920
2024-02-29,12.82760
2024-02-28,12.82730
2024-02-27,12.82820
2024-02-23,12.82470
2024-02-22,12.82330
2024-02-21,12.82370
2024-02-20,12.82160
2024-02-19,12.82020
2024-02-16,12.81710
2024-02-15,12.81650
2024-02-14,12.81570
2024-02-13,12.81690
2024-02-12,12.81480
2024-02-09,12.81200
2024-02-08,12.81290
2024-02-07,12.80490
2024-02-06,12.80160
2024-02-05,12.79870
2024-02-02,12.79770
2024-02-01,12.79680
2024-01-31,12.79480
2024-01-30,12.79630
2024-01-29,12.79370
2024-01-26,12.79020
2024-01-25,12.78610
2024-01-24,12.78580
2024-01-23,12.78460
2024-01-22,12.78220
2024-01-19,12.77950
2024-01-18,12.78010
2024-01-17,12.78040
2024-01-16,12.78040
2024-01-15,12.78040
2024-01-12,12.77490
2024-01-11,12.77470
2024-01-10,12.77450
2024-01-09,12.77060
2024-01-08,12.76790
2024-01-05,12.76480
2024-01-04,12.76460
2024-01-03,12.76210
2024-01-02,12.76260
