THAIDATE,Month,DATE,NAV
19 มิ.ย. 68,มิ.ย.,19-Jun-2025,12.1693
18 มิ.ย. 68,มิ.ย.,18-Jun-2025,12.1652
17 มิ.ย. 68,มิ.ย.,17-Jun-2025,12.1574
16 มิ.ย. 68,มิ.ย.,16-Jun-2025,12.1542
13 มิ.ย. 68,มิ.ย.,13-Jun-2025,12.1603
12 มิ.ย. 68,มิ.ย.,12-Jun-2025,12.1563
11 มิ.ย. 68,มิ.ย.,11-Jun-2025,12.1487
10 มิ.ย. 68,มิ.ย.,10-Jun-2025,12.1520
09 มิ.ย. 68,มิ.ย.,09-Jun-2025,12.1490
06 มิ.ย. 68,มิ.ย.,06-Jun-2025,12.1526
05 มิ.ย. 68,มิ.ย.,05-Jun-2025,12.1511
04 มิ.ย. 68,มิ.ย.,04-Jun-2025,12.1407
30 พ.ค. 68,พ.ค.,30-May-2025,12.1355
29 พ.ค. 68,พ.ค.,29-May-2025,12.1264
28 พ.ค. 68,พ.ค.,28-May-2025,12.1306
27 พ.ค. 68,พ.ค.,27-May-2025,12.1278
26 พ.ค. 68,พ.ค.,26-May-2025,12.1207
23 พ.ค. 68,พ.ค.,23-May-2025,12.1172
22 พ.ค. 68,พ.ค.,22-May-2025,12.1114
21 พ.ค. 68,พ.ค.,21-May-2025,12.1138
20 พ.ค. 68,พ.ค.,20-May-2025,12.1193
19 พ.ค. 68,พ.ค.,19-May-2025,12.1116
16 พ.ค. 68,พ.ค.,16-May-2025,12.1224
15 พ.ค. 68,พ.ค.,15-May-2025,12.1142
14 พ.ค. 68,พ.ค.,14-May-2025,12.1123
13 พ.ค. 68,พ.ค.,13-May-2025,12.1138
09 พ.ค. 68,พ.ค.,09-May-2025,12.1207
08 พ.ค. 68,พ.ค.,08-May-2025,12.1262
07 พ.ค. 68,พ.ค.,07-May-2025,12.1273
06 พ.ค. 68,พ.ค.,06-May-2025,12.1163
02 พ.ค. 68,พ.ค.,02-May-2025,12.1191
30 เม.ย. 68,เม.ย.,30-Apr-2025,12.1249
29 เม.ย. 68,เม.ย.,29-Apr-2025,12.1205
28 เม.ย. 68,เม.ย.,28-Apr-2025,12.1187
25 เม.ย. 68,เม.ย.,25-Apr-2025,12.1140
24 เม.ย. 68,เม.ย.,24-Apr-2025,12.1065
23 เม.ย. 68,เม.ย.,23-Apr-2025,12.1128
22 เม.ย. 68,เม.ย.,22-Apr-2025,12.1069
21 เม.ย. 68,เม.ย.,21-Apr-2025,12.1157
18 เม.ย. 68,เม.ย.,18-Apr-2025,12.1133
17 เม.ย. 68,เม.ย.,17-Apr-2025,12.1088
16 เม.ย. 68,เม.ย.,16-Apr-2025,12.1044
11 เม.ย. 68,เม.ย.,11-Apr-2025,12.0932
10 เม.ย. 68,เม.ย.,10-Apr-2025,12.1031
09 เม.ย. 68,เม.ย.,09-Apr-2025,12.0997
08 เม.ย. 68,เม.ย.,08-Apr-2025,12.1140
04 เม.ย. 68,เม.ย.,04-Apr-2025,12.1260
03 เม.ย. 68,เม.ย.,03-Apr-2025,12.1169
02 เม.ย. 68,เม.ย.,02-Apr-2025,12.0998
01 เม.ย. 68,เม.ย.,01-Apr-2025,12.0924
31 มี.ค. 68,มี.ค.,31-Mar-2025,12.0873
27 มี.ค. 68,มี.ค.,27-Mar-2025,12.0606
26 มี.ค. 68,มี.ค.,26-Mar-2025,12.0633
25 มี.ค. 68,มี.ค.,25-Mar-2025,12.0586
24 มี.ค. 68,มี.ค.,24-Mar-2025,12.0643
21 มี.ค. 68,มี.ค.,21-Mar-2025,12.0661
20 มี.ค. 68,มี.ค.,20-Mar-2025,12.0610
19 มี.ค. 68,มี.ค.,19-Mar-2025,12.0514
18 มี.ค. 68,มี.ค.,18-Mar-2025,12.0429
17 มี.ค. 68,มี.ค.,17-Mar-2025,12.0438
14 มี.ค. 68,มี.ค.,14-Mar-2025,12.0430
13 มี.ค. 68,มี.ค.,13-Mar-2025,12.0379
12 มี.ค. 68,มี.ค.,12-Mar-2025,12.0381
11 มี.ค. 68,มี.ค.,11-Mar-2025,12.0397
10 มี.ค. 68,มี.ค.,10-Mar-2025,12.0325
07 มี.ค. 68,มี.ค.,07-Mar-2025,12.0272
06 มี.ค. 68,มี.ค.,06-Mar-2025,12.0219
05 มี.ค. 68,มี.ค.,05-Mar-2025,12.0260
04 มี.ค. 68,มี.ค.,04-Mar-2025,12.0275
03 มี.ค. 68,มี.ค.,03-Mar-2025,12.0223
28 ก.พ. 68,ก.พ.,28-Feb-2025,12.0230
27 ก.พ. 68,ก.พ.,27-Feb-2025,12.0205
26 ก.พ. 68,ก.พ.,26-Feb-2025,12.0137
25 ก.พ. 68,ก.พ.,25-Feb-2025,11.9987
24 ก.พ. 68,ก.พ.,24-Feb-2025,11.9929
21 ก.พ. 68,ก.พ.,21-Feb-2025,11.9850
